商品名称,SKU-泰国,SKU-越南,SKU-菲律宾,SKU-马来,SKU-新加坡,采购成本(CNY)
1555555,,1731655290717834231,,,,2.0
1555555141,,1731656464589687799,,,,2.0
1731363487705172983,1731363487705238519,,,,,6.5
1731363487705172983,1731492422624447479,,,,,6.8
1731363487705172983,1731492422624513015,,,,,6.8
1731363487705172983,1731492422624578551,,,,,6.8
1731363487705172983,1731492422624644087,,,,,6.8
1731363487705172983,1731492422624709623,,,,,6.8
1731363487705172983,1731492422624775159,,,,,6.8
1731363524843375607,1731363524843441143,,,,,6.5
1731363524843375607,1731363524843506679,,,,,6.5
1731363524843375607,1731400629648394231,,,,,6.5
1731363524843375607,1731400629648459767,,,,,6.5
1731363524843375607,1731400629648525303,,,,,6.5
1731363524843375607,1731400629648590839,,,,,6.5
1731387021624773623,1731387021624839159,,,,,2.2
1731387021624773623,1731387021624904695,,,,,2.2
1731387021624773623,1731387021624970231,,,,,2.2
1731387021624773623,1731387021625035767,,,,,2.2
1731387021624773623,1731387021625101303,,,,,2.2
1731387021624773623,1731387021625166839,,,,,2.2
1731387021624773623,1731387021625232375,,,,,2.2
1731387021624773623,1731387021625297911,,,,,2.2
1731387021624773623,1731387021625363447,,,,,2.2
1731387021624773623,1731387021625428983,,,,,2.2
1731387021624773623,1731387021625494519,,,,,2.2
1731387021624773623,1731387021625560055,,,,,2.2
1731387021624773623,1731387036720466935,,,,,2.2
1731387021624773623,1731387036720532471,,,,,2.2
1731387021624773623,1731387036720598007,,,,,2.2
1731387021624773623,1731387036720663543,,,,,2.2
1731387021624773623,1731387036720729079,,,,,2.2
1731387021624773623,1731387036720794615,,,,,2.2
1731387021624773623,1731387036720860151,,,,,2.2
1731387021624773623,1731387036720925687,,,,,2.2
1731387021624773623,1731387036720991223,,,,,2.2
1731387021624773623,1731387036721056759,,,,,2.2
1731387021624773623,1731387036721122295,,,,,2.2
1731387021624773623,1731387036721187831,,,,,2.2
1731387021624773623,1731387036721253367,,,,,2.2
1731387021624773623,1731387036721318903,,,,,2.2
1731387021624773623,1731387036721384439,,,,,2.2
1731387021624773623,1731387036721449975,,,,,2.2
1731387021624773623,1731387036721515511,,,,,2.2
1731387021624773623,1731387036721581047,,,,,2.2
1731387021624773623,1731387036721646583,,,,,2.2
1731387021624773623,1731387036721712119,,,,,2.2
1731387021624773623,1731387036721777655,,,,,2.2
1731387021624773623,1731387036721843191,,,,,2.2
1731387021624773623,1731387036721908727,,,,,2.2
1731396949352221687,1731396949352287223,,,,,4.3
1731396953209080823,1731396953209146359,,,,,6.7
1731396960786877431,1731396960786942967,,,,,6.2
1731396960786877431,1731825013681458167,,,,,6.2
1731396960786877431,1731825013681523703,,,,,6.2
1731396960786877431,1731825013681589239,,,,,6.2
1731396960786877431,1731825013681654775,,,,,6.2
1731396960786877431,1731825013681720311,,,,,6.2
1731396960786877431,1731825013681785847,,,,,6.2
1731396960786877431,1731825013681851383,,,,,6.2
1731396961586416631,1731396961586482167,,,,,7.2
1731396964366191607,1731396964366257143,,,,,8.7
1731396964366191607,1731396964366322679,,,,,8.7
1731396968941063159,1731396968941128695,,,,,2.5
1731396969378515959,1731396969378581495,,,,,9.7
